user_id,voting_weight,n_posrated,n_negrated,n_base,n_zerorated,n_cache
36,,130,63,0,0,10000
46,,99,50,0,0,10000
55,,186,121,0,0,10000
60,,23,35,0,0,10000
70,,28,31,0,0,10000
78,,75,52,0,0,10000
82,,252,57,0,0,10000
88,,86,32,0,0,10000
107,,90,37,0,0,10000
116,,100,21,0,0,10000
146,,36,26,0,0,10000
169,,28,70,0,0,10000
172,,40,43,0,0,10000
189,,177,69,0,0,10000
219,,38,28,0,0,10000
244,,36,23,0,0,10000
266,,199,136,0,0,10000
289,,26,39,0,0,10000
300,,74,22,0,0,10000
338,,82,40,0,0,10000
345,,67,74,0,0,10000
348,,25,27,0,0,10000
425,,26,31,0,0,10000
454,,108,200,0,0,10000
473,,72,21,0,0,10000
508,,30,95,0,0,10000
601,,39,54,0,0,10000
608,,28,21,0,0,10000
633,,124,20,0,0,10000
766,,99,28,0,0,10000
801,,60,49,0,0,10000
874,,65,22,0,0,10000
982,,35,40,0,0,10000
1011,,26,25,0,0,10000
1064,,39,55,0,0,10000
1069,,58,100,0,0,10000
1162,,50,21,0,0,10000
1399,,48,26,0,0,10000
1477,,22,21,0,0,10000
1496,,30,25,0,0,10000
1512,,26,23,0,0,10000
1539,,23,20,0,0,10000
1556,,28,25,0,0,10000
1575,,22,24,0,0,10000
1626,,20,35,0,0,10000
1698,,50,67,0,0,10000
1776,,287,100,0,0,10000
1798,,80,29,0,0,10000
2006,,97,56,0,0,10000
2016,,252,74,0,0,10000
2171,,40,23,0,0,10000
2195,,26,33,0,0,10000
2263,,69,22,0,0,10000
2456,,71,31,0,0,10000
2468,,87,36,0,0,10000
2475,,216,72,0,0,10000
2606,,39,22,0,0,10000
2673,,53,67,0,0,10000
2706,,57,48,0,0,10000
2930,,24,26,0,0,10000
2959,,121,26,0,0,10000
2990,,28,22,0,0,10000
3021,,44,45,0,0,10000
3075,,54,31,0,0,10000
3194,,127,21,0,0,10000
3247,,30,24,0,0,10000
3299,,27,22,0,0,10000
3507,,34,41,0,0,10000
3534,,130,257,0,0,10000
3539,,46,49,0,0,10000
3556,,51,43,0,0,10000
3577,,77,27,0,0,10000
3607,,46,42,0,0,10000
3622,,177,70,0,0,10000
3646,,135,27,0,0,10000
3679,,25,26,0,0,10000
3686,,65,29,0,0,10000
3693,,211,150,0,0,10000
3716,,22,53,0,0,10000
3721,,32,30,0,0,10000
3735,,45,32,0,0,10000
3867,,21,60,0,0,10000
3897,,21,38,0,0,10000
3929,,21,28,0,0,10000
3931,,46,94,0,0,10000
3967,,28,53,0,0,10000
3970,,22,36,0,0,10000
3992,,40,70,0,0,10000
4018,,27,28,0,0,10000
4043,,30,70,0,0,10000
4048,,29,62,0,0,10000
4091,,64,50,0,0,10000
4124,,33,32,0,0,10000
4134,,78,39,0,0,10000
4169,,163,118,0,0,10000
4180,,49,28,0,0,10000
4204,,53,22,0,0,10000
4260,,72,28,0,0,10000
4273,,28,40,0,0,10000
4300,,56,49,0,0,10000
4345,,63,36,0,0,10000
4390,,26,20,0,0,10000
4411,,57,20,0,0,10000
4417,,21,26,0,0,10000
4419,,37,52,0,0,10000
4467,,77,42,0,0,10000
4469,,97,51,0,0,10000
4478,,24,22,0,0,10000
4490,,25,44,0,0,10000
4498,,82,23,0,0,10000
4500,,131,33,0,0,10000
4536,,51,55,0,0,10000
4557,,480,50,0,0,10000
4562,,103,118,0,0,10000
4578,,119,51,0,0,10000
4580,,65,76,0,0,10000
4582,,45,34,0,0,10000
4596,,166,141,0,0,10000
4601,,21,56,0,0,10000
4643,,20,23,0,0,10000
4671,,25,44,0,0,10000
4727,,33,20,0,0,10000
4757,,88,38,0,0,10000
4758,,50,40,0,0,10000
4844,,165,34,0,0,10000
4894,,47,28,0,0,10000
4964,,50,22,0,0,10000
4982,,73,267,0,0,10000
5011,,32,43,0,0,10000
5054,,86,22,0,0,10000
5069,,23,52,0,0,10000
5113,,42,26,0,0,10000
5136,,21,21,0,0,10000
5150,,71,44,0,0,10000
5155,,39,32,0,0,10000
5202,,148,45,0,0,10000
5211,,89,53,0,0,10000
5224,,44,39,0,0,10000
5228,,195,31,0,0,10000
5232,,35,92,0,0,10000
5320,,24,66,0,0,10000
5400,,68,35,0,0,10000
5424,,828,94,0,0,10000
5464,,21,48,0,0,10000
5471,,48,44,0,0,10000
5499,,26,37,0,0,10000
5504,,96,90,0,0,10000
5584,,126,42,0,0,10000
5593,,23,27,0,0,10000
5641,,29,24,0,0,10000
5667,,21,49,0,0,10000
5721,,61,65,0,0,10000
5736,,121,229,0,0,10000
5768,,30,74,0,0,10000
5773,,30,82,0,0,10000
5778,,32,30,0,0,10000
5871,,70,35,0,0,10000
5909,,52,73,0,0,10000
5914,,47,26,0,0,10000
6023,,40,67,0,0,10000
6031,,58,200,0,0,10000
6065,,32,21,0,0,10000
6258,,628,40,0,0,10000
6343,,35,46,0,0,10000
6395,,844,473,0,0,10000
6488,,329,38,0,0,10000
6493,,21,32,0,0,10000
6524,,21,31,0,0,10000
6538,,93,28,0,0,10000
6559,,22,23,0,0,10000
6563,,23,107,0,0,10000
6584,,66,67,0,0,10000
6711,,27,22,0,0,10000
6827,,27,253,0,0,10000
6828,,30,67,0,0,10000
6933,,24,26,0,0,10000
6934,,28,39,0,0,10000
6940,,37,51,0,0,10000
6963,,55,28,0,0,10000
7025,,20,24,0,0,10000
7035,,112,54,0,0,10000
7089,,62,49,0,0,10000
7260,,23,46,0,0,10000
7300,,30,41,0,0,10000
7316,,28,34,0,0,10000
7340,,53,20,0,0,10000
7365,,51,65,0,0,10000
7376,,56,27,0,0,10000
7404,,77,100,0,0,10000
7406,,268,141,0,0,10000
7517,,47,30,0,0,10000
7532,,38,46,0,0,10000
7599,,60,45,0,0,10000
7600,,25,26,0,0,10000
7658,,54,22,0,0,10000
7684,,57,52,0,0,10000
7727,,26,47,0,0,10000
7741,,48,54,0,0,10000
7834,,32,46,0,0,10000
7846,,52,50,0,0,10000
7873,,168,79,0,0,10000
7891,,21,29,0,0,10000
7926,,47,126,0,0,10000
8030,,87,100,0,0,10000
8040,,43,91,0,0,10000
8043,,21,24,0,0,10000
8095,,66,34,0,0,10000
8157,,133,576,0,0,10000
8201,,52,38,0,0,10000
8215,,30,21,0,0,10000
8263,,28,57,0,0,10000
8331,,35,35,0,0,10000
8375,,31,60,0,0,10000
8442,,44,29,0,0,10000
8481,,109,42,0,0,10000
8536,,45,60,0,0,10000
8602,,71,21,0,0,10000
8667,,28,31,0,0,10000
8760,,72,36,0,0,10000
8843,,25,20,0,0,10000
8883,,78,59,0,0,10000
8899,,30,25,0,0,10000
8972,,37,39,0,0,10000
9007,,732,40,0,0,10000
9104,,28,78,0,0,10000
9112,,35,23,0,0,10000
9122,,22,22,0,0,10000
9176,,160,68,0,0,10000
9237,,34,31,0,0,10000
9286,,55,31,0,0,10000
9414,,58,29,0,0,10000
9482,,40,29,0,0,10000
9487,,43,57,0,0,10000
9508,,119,212,0,0,10000
9522,,57,51,0,0,10000
9529,,28,34,0,0,10000
9655,,33,28,0,0,10000
9713,,46,35,0,0,10000
9736,,62,41,0,0,10000
9772,,66,40,0,0,10000
9857,,84,62,0,0,10000
9873,,108,64,0,0,10000
9917,,112,132,0,0,10000
9922,,105,55,0,0,10000
9952,,40,25,0,0,10000
10034,,28,67,0,0,10000
10061,,63,138,0,0,10000
10153,,89,20,0,0,10000
10172,,178,119,0,0,10000
10218,,108,121,0,0,10000
10235,,49,42,0,0,10000
10250,,41,83,0,0,10000
10349,,40,35,0,0,10000
10360,,77,23,0,0,10000
10412,,48,45,0,0,10000
10464,,20,54,0,0,10000
10475,,32,30,0,0,10000
10502,,210,114,0,0,10000
10563,,63,28,0,0,10000
10573,,55,59,0,0,10000
10605,,42,21,0,0,10000
10642,,26,27,0,0,10000
10655,,96,45,0,0,10000
10692,,64,51,0,0,10000
10747,,47,38,0,0,10000
10756,,30,44,0,0,10000
10861,,76,44,0,0,10000
10901,,44,22,0,0,10000
10915,,440,56,0,0,10000
10948,,55,48,0,0,10000
10955,,66,39,0,0,10000
11024,,23,26,0,0,10000
11087,,61,47,0,0,10000
11148,,44,40,0,0,10000
11162,,71,31,0,0,10000
11230,,32,22,0,0,10000
11243,,23,24,0,0,10000
11253,,29,59,0,0,10000
11267,,28,72,0,0,10000
11330,,27,35,0,0,10000
11354,,88,79,0,0,10000
11415,,53,53,0,0,10000
11481,,79,35,0,0,10000
11488,,290,504,0,0,10000
11573,,26,27,0,0,10000
11667,,30,20,0,0,10000
11705,,1016,8559,0,0,10000
11722,,41,68,0,0,10000
11763,,52,29,0,0,10000
11798,,53,22,0,0,10000
11804,,56,37,0,0,10000
11816,,32,21,0,0,10000
11921,,73,20,0,0,10000
11928,,38,28,0,0,10000
12012,,49,31,0,0,10000
12127,,31,38,0,0,10000
12159,,46,22,0,0,10000
12208,,20,21,0,0,10000
12225,,20,25,0,0,10000
12256,,64,35,0,0,10000
12267,,35,21,0,0,10000
12315,,48,21,0,0,10000
12345,,32,36,0,0,10000
12368,,41,22,0,0,10000
12407,,41,25,0,0,10000
12430,,29,24,0,0,10000
12464,,36,20,0,0,10000
12494,,31,20,0,0,10000
12596,,21,25,0,0,10000
12649,,78,30,0,0,10000
12713,,76,25,0,0,10000
12775,,27,20,0,0,10000
12829,,44,21,0,0,10000
12937,,20,26,0,0,10000
12962,,50,20,0,0,10000
12966,,21,27,0,0,10000
13192,,25,20,0,0,10000
13195,,51,30,0,0,10000
13327,,153,26,0,0,10000
13409,,41,23,0,0,10000
13570,,23,22,0,0,10000
13638,,97,20,0,0,10000
13759,,20,22,0,0,10000
13823,,20,22,0,0,10000
13899,,20,23,0,0,10000
13924,,24,25,0,0,10000
14041,,36,26,0,0,10000
14166,,27,21,0,0,10000
14174,,93,216,0,0,10000
14210,,376,157,0,0,10000
14359,,116,50,0,0,10000
14562,,23,112,0,0,10000
14719,,24,27,0,0,10000
14777,,35,22,0,0,10000
14803,,90,60,0,0,10000
14851,,101,197,0,0,10000
14894,,98,76,0,0,10000
14931,,73,33,0,0,10000
14979,,65,23,0,0,10000
15041,,23,43,0,0,10000
15099,,169,32,0,0,10000
15191,,48,31,0,0,10000
15231,,70,45,0,0,10000
15244,,48,23,0,0,10000
15291,,26,45,0,0,10000
15307,,24,25,0,0,10000
15369,,267,223,0,0,10000
15405,,64,20,0,0,10000
15426,,45,22,0,0,10000
15445,,52,43,0,0,10000
15473,,47,47,0,0,10000
15509,,50,29,0,0,10000
15558,,275,41,0,0,10000
15585,,50,87,0,0,10000
15641,,48,21,0,0,10000
15708,,105,51,0,0,10000
15793,,30,26,0,0,10000
15974,,227,221,0,0,10000
15977,,23,45,0,0,10000
15995,,40,27,0,0,10000
16006,,342,27,0,0,10000
16054,,23,58,0,0,10000
16089,,28,39,0,0,10000
16090,,56,33,0,0,10000
16174,,25,22,0,0,10000
16190,,61,30,0,0,10000
16326,,27,22,0,0,10000
16328,,22,24,0,0,10000
16342,,30,26,0,0,10000
16371,,30,34,0,0,10000
16419,,30,28,0,0,10000
16482,,29,37,0,0,10000
16515,,100,47,0,0,10000
16529,,125,50,0,0,10000
16699,,56,24,0,0,10000
16723,,26,21,0,0,10000
16853,,44,24,0,0,10000
16883,,26,27,0,0,10000
16895,,31,102,0,0,10000
17050,,80,23,0,0,10000
17087,,29,20,0,0,10000
17279,,27,22,0,0,10000
17306,,68,121,0,0,10000
17310,,25,30,0,0,10000
17333,,32,34,0,0,10000
17350,,33,85,0,0,10000
17361,,68,101,0,0,10000
17411,,45,46,0,0,10000
17485,,34,31,0,0,10000
17541,,24,20,0,0,10000
17571,,36,29,0,0,10000
17576,,46,33,0,0,10000
17595,,66,65,0,0,10000
17597,,28,26,0,0,10000
17600,,38,36,0,0,10000
17615,,182,75,0,0,10000
17684,,28,39,0,0,10000
17691,,49,27,0,0,10000
17761,,45,38,0,0,10000
17770,,21,30,0,0,10000
17839,,33,136,0,0,10000
17849,,23,25,0,0,10000
17877,,22,27,0,0,10000
17882,,20,22,0,0,10000
17910,,130,92,0,0,10000
17916,,108,33,0,0,10000
17931,,40,23,0,0,10000
17970,,20,34,0,0,10000
18032,,47,200,0,0,10000
18039,,34,57,0,0,10000
18069,,24,28,0,0,10000
18089,,43,44,0,0,10000
18127,,29,24,0,0,10000
18178,,62,76,0,0,10000
18362,,49,23,0,0,10000
18420,,21,74,0,0,10000
18433,,98,26,0,0,10000
18455,,66,33,0,0,10000
18513,,41,22,0,0,10000
18514,,47,22,0,0,10000
18520,,20,58,0,0,10000
18554,,113,33,0,0,10000
18643,,21,23,0,0,10000
18705,,23,54,0,0,10000
18836,,21,24,0,0,10000
18854,,61,168,0,0,10000
18890,,32,47,0,0,10000
18920,,23,27,0,0,10000
18948,,139,83,0,0,10000
19141,,53,70,0,0,10000
19169,,21,23,0,0,10000
19226,,105,95,0,0,10000
19251,,54,43,0,0,10000
19253,,22,33,0,0,10000
19261,,21,25,0,0,10000
19263,,32,31,0,0,10000
19377,,41,73,0,0,10000
19383,,23,30,0,0,10000
19394,,54,122,0,0,10000
19412,,23,24,0,0,10000
19449,,38,36,0,0,10000
19473,,37,30,0,0,10000
19487,,24,26,0,0,10000
19489,,30,33,0,0,10000
19556,,28,20,0,0,10000
19565,,36,99,0,0,10000
19590,,35,20,0,0,10000
19806,,29,35,0,0,10000
19826,,46,26,0,0,10000
19912,,28,21,0,0,10000
20027,,33,47,0,0,10000
20074,,45,44,0,0,10000
20077,,28,24,0,0,10000
20094,,21,22,0,0,10000
20216,,23,28,0,0,10000
20259,,22,41,0,0,10000
20386,,20,22,0,0,10000
20390,,170,46,0,0,10000
20443,,21,26,0,0,10000
20570,,31,27,0,0,10000
20645,,49,26,0,0,10000
20672,,24,21,0,0,10000
20675,,24,41,0,0,10000
21205,,23,23,0,0,10000
21207,,32,23,0,0,10000
21232,,29,24,0,0,10000
21267,,23,28,0,0,10000
21282,,262,359,0,0,10000
21394,,141,60,0,0,10000
21404,,31,21,0,0,10000
21432,,23,20,0,0,10000
21454,,28,35,0,0,10000
21764,,33,26,0,0,10000
21766,,34,33,0,0,10000
21815,,32,127,0,0,10000
21869,,36,36,0,0,10000
21873,,37,42,0,0,10000
21899,,20,23,0,0,10000
21902,,23,36,0,0,10000
21938,,22,31,0,0,10000
21956,,35,41,0,0,10000
21961,,36,35,0,0,10000
22008,,73,45,0,0,10000
22068,,59,27,0,0,10000
22129,,27,27,0,0,10000
22140,,39,24,0,0,10000
22250,,37,68,0,0,10000
22255,,20,34,0,0,10000
22343,,35,25,0,0,10000
22357,,20,22,0,0,10000
22376,,23,27,0,0,10000
22429,,40,23,0,0,10000
22564,,31,26,0,0,10000
22661,,65,54,0,0,10000
22706,,20,29,0,0,10000
22716,,104,67,0,0,10000
22763,,43,22,0,0,10000
22772,,27,34,0,0,10000
22934,,23,20,0,0,10000
22959,,25,22,0,0,10000
